Season,Team,Pace,2P,0-3,3-10,10-16,16-3P,3P
2014,Washington Wizards,99.2,0.498,0.648,0.432,0.384,0.405,0.347
2015,Atlanta Hawks,98.3,0.483,0.606,0.388,0.402,0.393,0.341
2015,Boston Celtics,94.7,0.49,0.643,0.389,0.41,0.385,0.336
2015,Brooklyn Nets,93.8,0.494,0.636,0.403,0.41,0.373,0.358
2015,Chicago Bulls,93.9,0.465,0.58,0.379,0.426,0.397,0.335
2015,Charlotte Hornets,92.3,0.47,0.596,0.374,0.407,0.415,0.357
2015,Cleveland Cavaliers,94.2,0.497,0.646,0.397,0.368,0.434,0.343
2015,Dallas Mavericks,96.5,0.485,0.647,0.348,0.419,0.39,0.364
2015,Denver Nuggets,92.0,0.498,0.624,0.414,0.441,0.401,0.346
2015,Detroit Pistons,92.8,0.491,0.649,0.344,0.398,0.425,0.355
2015,Golden State Warriors,92.8,0.458,0.616,0.341,0.407,0.366,0.337
2015,Houston Rockets,95.2,0.487,0.639,0.379,0.382,0.388,0.322
2015,Indiana Pacers,95.7,0.465,0.593,0.396,0.394,0.388,0.345
2015,Los Angeles Clippers,91.4,0.481,0.622,0.39,0.366,0.414,0.349
2015,Los Angeles Lakers,93.7,0.507,0.647,0.397,0.392,0.402,0.363
2015,Memphis Grizzlies,94.1,0.478,0.622,0.382,0.412,0.376,0.351
2015,Miami Heat,93.2,0.495,0.628,0.413,0.401,0.383,0.353
2015,Milwaukee Bucks,90.4,0.476,0.588,0.379,0.348,0.401,0.342
2015,Minnesota Timberwolves,95.8,0.531,0.688,0.426,0.41,0.4,0.367
2015,New Orleans Pelicans,96.3,0.494,0.634,0.379,0.402,0.389,0.335
2015,New York Knicks,92.8,0.49,0.612,0.401,0.427,0.389,0.38
2015,Oklahoma City Thunder,90.9,0.479,0.608,0.372,0.397,0.387,0.343
2015,Orlando Magic,92.7,0.499,0.642,0.4,0.426,0.395,0.368
2015,Philadelphia 76ers,93.0,0.487,0.621,0.354,0.402,0.411,0.35
2015,Phoenix Suns,96.1,0.486,0.644,0.361,0.375,0.394,0.352
2015,Portland Trail Blazers,95.4,0.468,0.605,0.378,0.426,0.382,0.338
2015,Sacramento Kings,93.8,0.5,0.683,0.427,0.384,0.39,0.349
2015,San Antonio Spurs,94.0,0.468,0.606,0.373,0.374,0.396,0.36
2015,Toronto Raptors,94.4,0.501,0.637,0.4,0.441,0.405,0.346
2015,Utah Jazz,95.7,0.474,0.63,0.373,0.43,0.389,0.362
2015,Washington Wizards,91.2,0.465,0.614,0.364,0.41,0.381,0.349
2016,Atlanta Hawks,93.8,0.512,0.623,0.377,0.431,0.415,0.35
2016,Boston Celtics,99.3,0.483,0.624,0.355,0.378,0.373,0.335
2016,Brooklyn Nets,96.7,0.481,0.608,0.425,0.404,0.392,0.352
2016,Chicago Bulls,93.3,0.464,0.573,0.391,0.4,0.398,0.371
2016,Charlotte Hornets,92.9,0.479,0.599,0.394,0.383,0.397,0.362
2016,Cleveland Cavaliers,95.8,0.514,0.658,0.391,0.378,0.438,0.362
2016,Dallas Mavericks,97.1,0.495,0.656,0.369,0.431,0.412,0.344
2016,Denver Nuggets,98.5,0.482,0.586,0.389,0.373,0.397,0.338
2016,Detroit Pistons,95.6,0.48,0.611,0.369,0.41,0.388,0.345
2016,Golden State Warriors,91.0,0.528,0.66,0.362,0.422,0.452,0.416
2016,Houston Rockets,93.6,0.514,0.651,0.356,0.4,0.379,0.347
2016,Indiana Pacers,96.6,0.486,0.635,0.435,0.39,0.381,0.351
2016,Los Angeles Clippers,96.0,0.513,0.674,0.438,0.425,0.417,0.364
2016,Los Angeles Lakers,95.1,0.454,0.59,0.403,0.369,0.358,0.317
2016,Memphis Grizzlies,97.6,0.471,0.583,0.389,0.416,0.392,0.331
2016,Miami Heat,94.3,0.508,0.663,0.422,0.407,0.401,0.336
2016,Milwaukee Bucks,98.5,0.495,0.617,0.402,0.397,0.387,0.345
2016,Minnesota Timberwolves,95.7,0.496,0.661,0.41,0.372,0.4,0.338
2016,New Orleans Pelicans,96.0,0.482,0.597,0.38,0.385,0.419,0.36
2016,New York Knicks,100.0,0.471,0.585,0.425,0.407,0.412,0.346
2016,Oklahoma City Thunder,93.3,0.524,0.626,0.438,0.478,0.41,0.349
2016,Orlando Magic,93.4,0.492,0.609,0.422,0.409,0.409,0.35
2016,Philadelphia 76ers,95.7,0.476,0.628,0.341,0.361,0.338,0.339
2016,Phoenix Suns,95.2,0.472,0.614,0.349,0.396,0.362,0.348
2016,Portland Trail Blazers,96.8,0.49,0.607,0.361,0.436,0.423,0.37
2016,Sacramento Kings,94.2,0.5,0.65,0.404,0.411,0.389,0.359
2016,San Antonio Spurs,98.5,0.515,0.667,0.452,0.44,0.421,0.375
2016,Toronto Raptors,95.2,0.483,0.624,0.409,0.394,0.374,0.37
2016,Utah Jazz,95.6,0.488,0.633,0.394,0.401,0.378,0.355
2016,Washington Wizards,97.9,0.501,0.638,0.41,0.415,0.4,0.358
2017,Atlanta Hawks,99.8,0.501,0.616,0.349,0.394,0.429,0.341
2017,Boston Celtics,94.2,0.515,0.632,0.395,0.417,0.405,0.359
2017,Brooklyn Nets,100.0,0.506,0.613,0.418,0.391,0.374,0.338
2017,Chicago Bulls,94.7,0.479,0.6,0.449,0.393,0.377,0.34
2017,Charlotte Hornets,96.1,0.488,0.61,0.4,0.419,0.38,0.351
2017,Cleveland Cavaliers,91.6,0.528,0.666,0.362,0.427,0.425,0.384
2017,Dallas Mavericks,96.2,0.489,0.637,0.444,0.441,0.391,0.355
2017,Denver Nuggets,96.8,0.519,0.626,0.441,0.386,0.397,0.368
2017,Detroit Pistons,97.4,0.492,0.646,0.384,0.445,0.416,0.33
2017,Golden State Warriors,95.2,0.557,0.69,0.408,0.43,0.469,0.383
2017,Houston Rockets,97.8,0.552,0.667,0.391,0.375,0.373,0.357
2017,Indiana Pacers,92.3,0.498,0.625,0.464,0.417,0.418,0.376
2017,Los Angeles Clippers,98.3,0.525,0.661,0.419,0.423,0.439,0.375
2017,Los Angeles Lakers,95.3,0.493,0.633,0.397,0.379,0.39,0.346
2017,Memphis Grizzlies,95.7,0.473,0.58,0.416,0.385,0.38,0.354
2017,Miami Heat,95.9,0.496,0.63,0.412,0.387,0.389,0.365
2017,Milwaukee Bucks,94.5,0.516,0.644,0.402,0.377,0.387,0.37
2017,Minnesota Timberwolves,96.7,0.507,0.645,0.437,0.392,0.402,0.349
2017,New Orleans Pelicans,97.4,0.495,0.627,0.417,0.427,0.38,0.35
2017,New York Knicks,95.0,0.485,0.591,0.381,0.44,0.419,0.348
2017,Oklahoma City Thunder,94.6,0.504,0.614,0.418,0.391,0.379,0.327
2017,Orlando Magic,98.0,0.488,0.616,0.427,0.413,0.39,0.328
2017,Philadelphia 76ers,92.2,0.496,0.638,0.376,0.384,0.344,0.34
2017,Phoenix Suns,96.0,0.491,0.629,0.412,0.402,0.373,0.332
2017,Portland Trail Blazers,94.9,0.499,0.596,0.418,0.441,0.417,0.375
2017,Sacramento Kings,100.3,0.496,0.642,0.421,0.412,0.402,0.376
2017,San Antonio Spurs,98.5,0.5,0.644,0.429,0.391,0.431,0.391
2017,Toronto Raptors,101.3,0.505,0.631,0.45,0.449,0.407,0.363
2017,Utah Jazz,96.8,0.511,0.651,0.413,0.427,0.363,0.372
2017,Washington Wizards,98.5,0.515,0.629,0.429,0.426,0.442,0.372
2018,Atlanta Hawks,97.6,0.495,0.635,0.351,0.399,0.411,0.36
2018,Boston Celtics,97.4,0.491,0.628,0.364,0.419,0.426,0.377
2018,Brooklyn Nets,99.6,0.5,0.643,0.379,0.4,0.354,0.356
2018,Chicago Bulls,95.7,0.478,0.624,0.39,0.388,0.377,0.355
2018,Charlotte Hornets,99.8,0.487,0.642,0.38,0.408,0.37,0.369
2018,Cleveland Cavaliers,96.0,0.54,0.706,0.368,0.413,0.387,0.372
2018,Dallas Mavericks,96.7,0.496,0.652,0.4,0.385,0.405,0.36
2018,Denver Nuggets,95.0,0.525,0.664,0.424,0.441,0.391,0.371
2018,Detroit Pistons,96.5,0.488,0.657,0.346,0.433,0.388,0.373
2018,Golden State Warriors,96.0,0.56,0.708,0.424,0.485,0.463,0.391
2018,Houston Rockets,96.8,0.558,0.669,0.369,0.454,0.43,0.362
2018,Indiana Pacers,96.0,0.513,0.638,0.42,0.449,0.422,0.369
2018,Los Angeles Clippers,100.5,0.525,0.659,0.378,0.424,0.378,0.354
2018,Los Angeles Lakers,98.0,0.517,0.67,0.39,0.354,0.378,0.345
2018,Memphis Grizzlies,96.6,0.486,0.62,0.352,0.372,0.398,0.352
2018,Miami Heat,95.6,0.508,0.657,0.416,0.383,0.366,0.36
2018,Milwaukee Bucks,98.4,0.531,0.685,0.373,0.463,0.406,0.355
2018,Minnesota Timberwolves,98.7,0.519,0.69,0.433,0.432,0.403,0.357
2018,New Orleans Pelicans,96.2,0.54,0.667,0.475,0.441,0.396,0.362
2018,New York Knicks,96.3,0.504,0.656,0.398,0.442,0.399,0.352
2018,Oklahoma City Thunder,100.3,0.505,0.639,0.367,0.404,0.375,0.354
2018,Orlando Magic,95.6,0.504,0.688,0.398,0.347,0.403,0.351
2018,Philadelphia 76ers,96.8,0.526,0.702,0.401,0.383,0.421,0.369
2018,Phoenix Suns,98.9,0.492,0.618,0.387,0.399,0.369,0.334
2018,Portland Trail Blazers,98.1,0.493,0.609,0.383,0.434,0.418,0.366
2018,Sacramento Kings,98.3,0.479,0.642,0.395,0.385,0.407,0.375
2018,San Antonio Spurs,94.9,0.499,0.66,0.406,0.416,0.4,0.352
2018,Toronto Raptors,98.3,0.541,0.681,0.414,0.428,0.419,0.358
2018,Utah Jazz,94.9,0.515,0.674,0.37,0.398,0.408,0.366
2018,Washington Wizards,100.3,0.508,0.673,0.418,0.436,0.405,0.375
2019,Atlanta Hawks,103.3,0.518,0.64,0.356,0.374,0.374,0.352
2019,Boston Celtics,100.9,0.527,0.677,0.42,0.448,0.41,0.365
2019,Brooklyn Nets,100.2,0.513,0.639,0.373,0.423,0.366,0.353
2019,Chicago Bulls,100.3,0.496,0.627,0.408,0.392,0.368,0.351
2019,Charlotte Hornets,97.9,0.507,0.625,0.387,0.44,0.401,0.351
2019,Cleveland Cavaliers,99.6,0.488,0.619,0.39,0.411,0.387,0.355
2019,Dallas Mavericks,99.1,0.524,0.677,0.4,0.397,0.371,0.34
2019,Denver Nuggets,97.7,0.527,0.674,0.407,0.457,0.394,0.351
2019,Detroit Pistons,98.1,0.5,0.638,0.396,0.365,0.419,0.348
2019,Golden State Warriors,102.8,0.557,0.703,0.433,0.477,0.458,0.385
2019,Houston Rockets,101.6,0.551,0.67,0.4,0.415,0.452,0.356
2019,Indiana Pacers,98.3,0.517,0.651,0.407,0.416,0.414,0.374
2019,Los Angeles Clippers,101.7,0.507,0.638,0.397,0.426,0.385,0.388
2019,Los Angeles Lakers,98.1,0.541,0.677,0.387,0.372,0.419,0.333
2019,Memphis Grizzlies,100.8,0.505,0.643,0.419,0.39,0.393,0.342
2019,Miami Heat,97.4,0.509,0.637,0.427,0.375,0.364,0.349
2019,Milwaukee Bucks,98.2,0.565,0.698,0.346,0.424,0.389,0.353
2019,Minnesota Timberwolves,103.1,0.504,0.66,0.391,0.395,0.388,0.351
2019,New Orleans Pelicans,98.7,0.536,0.674,0.423,0.447,0.344,0.344
2019,New York Knicks,103.3,0.479,0.603,0.345,0.386,0.385,0.34
2019,Oklahoma City Thunder,99.0,0.51,0.637,0.362,0.372,0.393,0.348
2019,Orlando Magic,100.2,0.509,0.674,0.422,0.384,0.401,0.356
2019,Philadelphia 76ers,103.2,0.529,0.696,0.401,0.401,0.401,0.359
2019,Phoenix Suns,96.6,0.525,0.656,0.407,0.44,0.4,0.329
2019,Portland Trail Blazers,101.4,0.523,0.621,0.404,0.454,0.428,0.359
2019,Sacramento Kings,103.9,0.504,0.674,0.375,0.404,0.395,0.378
2019,San Antonio Spurs,99.0,0.513,0.68,0.457,0.436,0.431,0.392
2019,Toronto Raptors,99.6,0.539,0.659,0.452,0.431,0.432,0.366
2019,Utah Jazz,100.5,0.541,0.684,0.369,0.398,0.412,0.356
2019,Washington Wizards,96.6,0.543,0.698,0.403,0.386,0.393,0.341
2020,Atlanta Hawks,105.1,0.525,0.658,0.414,0.394,0.376,0.333
2020,Boston Celtics,99.5,0.522,0.662,0.387,0.437,0.416,0.364
2020,Brooklyn Nets,101.5,0.524,0.651,0.358,0.381,0.413,0.343
2020,Chicago Bulls,100.9,0.511,0.627,0.362,0.375,0.354,0.348
2020,Charlotte Hornets,100.9,0.489,0.627,0.357,0.321,0.352,0.352
2020,Cleveland Cavaliers,99.3,0.519,0.64,0.407,0.443,0.385,0.351
2020,Dallas Mavericks,98.3,0.541,0.696,0.407,0.413,0.431,0.367
2020,Denver Nuggets,103.7,0.533,0.687,0.402,0.417,0.456,0.359
2020,Detroit Pistons,98.6,0.515,0.66,0.4,0.369,0.401,0.367
2020,Golden State Warriors,99.0,0.495,0.666,0.382,0.416,0.384,0.334
2020,Houston Rockets,97.1,0.557,0.672,0.379,0.403,0.402,0.345
2020,Indiana Pacers,98.9,0.529,0.651,0.428,0.456,0.42,0.363
2020,Los Angeles Clippers,98.8,0.522,0.669,0.408,0.419,0.4,0.371
2020,Los Angeles Lakers,101.3,0.552,0.723,0.401,0.401,0.355,0.349
2020,Memphis Grizzlies,101.4,0.532,0.667,0.443,0.427,0.397,0.347
2020,Miami Heat,98.6,0.532,0.693,0.418,0.398,0.386,0.379
2020,Milwaukee Bucks,100.5,0.567,0.717,0.374,0.458,0.467,0.355
2020,Minnesota Timberwolves,102.8,0.521,0.64,0.384,0.373,0.372,0.336
2020,New Orleans Pelicans,100.7,0.528,0.666,0.376,0.394,0.378,0.37
2020,New York Knicks,103.7,0.499,0.64,0.364,0.401,0.382,0.337
2020,Oklahoma City Thunder,98.9,0.529,0.68,0.386,0.455,0.474,0.355
2020,Orlando Magic,99.7,0.502,0.664,0.406,0.392,0.381,0.343
2020,Philadelphia 76ers,97.6,0.524,0.688,0.41,0.408,0.399,0.368
2020,Phoenix Suns,103.4,0.529,0.659,0.404,0.444,0.405,0.358
2020,Portland Trail Blazers,102.7,0.514,0.634,0.399,0.428,0.446,0.377
2020,Sacramento Kings,98.6,0.527,0.689,0.4,0.416,0.426,0.364
2020,San Antonio Spurs,95.8,0.516,0.666,0.435,0.458,0.422,0.376
2020,Toronto Raptors,103.0,0.519,0.645,0.381,0.367,0.351,0.374
2020,Utah Jazz,98.7,0.535,0.692,0.407,0.42,0.428,0.38
2020,Washington Wizards,100.3,0.506,0.688,0.363,0.41,0.387,0.368
2021,Atlanta Hawks,98.5,0.526,0.656,0.415,0.454,0.443,0.373
2021,Boston Celtics,96.9,0.53,0.693,0.453,0.412,0.414,0.374
2021,Brooklyn Nets,97.2,0.565,0.693,0.443,0.48,0.45,0.392
2021,Chicago Bulls,102.2,0.542,0.672,0.447,0.428,0.425,0.37
2021,Charlotte Hornets,99.5,0.517,0.637,0.4,0.418,0.387,0.369
2021,Cleveland Cavaliers,97.1,0.51,0.626,0.419,0.4,0.354,0.336
2021,Dallas Mavericks,99.5,0.554,0.715,0.429,0.475,0.426,0.362
2021,Denver Nuggets,98.7,0.552,0.73,0.46,0.444,0.425,0.377
2021,Detroit Pistons,97.3,0.515,0.66,0.416,0.359,0.386,0.351
2021,Golden State Warriors,95.9,0.541,0.709,0.449,0.402,0.391,0.376
2021,Houston Rockets,97.6,0.532,0.683,0.385,0.354,0.317,0.339
2021,Indiana Pacers,98.4,0.54,0.655,0.414,0.445,0.417,0.364
2021,Los Angeles Clippers,98.3,0.529,0.688,0.432,0.446,0.439,0.411
2021,Los Angeles Lakers,102.2,0.539,0.701,0.434,0.403,0.35,0.354
2021,Memphis Grizzlies,100.4,0.525,0.661,0.443,0.453,0.393,0.356
2021,Miami Heat,96.6,0.553,0.719,0.437,0.427,0.391,0.358
2021,Milwaukee Bucks,101.6,0.554,0.717,0.419,0.457,0.426,0.389
2021,Minnesota Timberwolves,100.1,0.518,0.65,0.391,0.363,0.362,0.349
2021,New Orleans Pelicans,99.2,0.544,0.66,0.413,0.414,0.457,0.348
2021,New York Knicks,99.0,0.49,0.637,0.385,0.407,0.411,0.392
2021,Oklahoma City Thunder,98.9,0.509,0.635,0.401,0.41,0.381,0.339
2021,Orlando Magic,104.1,0.476,0.652,0.386,0.424,0.388,0.343
2021,Philadelphia 76ers,98.3,0.531,0.672,0.436,0.479,0.438,0.374
2021,Phoenix Suns,100.0,0.563,0.718,0.47,0.509,0.454,0.378
2021,Portland Trail Blazers,97.9,0.509,0.637,0.378,0.439,0.422,0.385
2021,Sacramento Kings,101.6,0.551,0.717,0.432,0.479,0.4,0.364
2021,San Antonio Spurs,101.4,0.514,0.658,0.435,0.433,0.444,0.35
2021,Toronto Raptors,97.3,0.512,0.662,0.407,0.409,0.375,0.368
2021,Utah Jazz,98.7,0.544,0.703,0.443,0.448,0.372,0.389
2021,Washington Wizards,101.0,0.533,0.695,0.515,0.408,0.402,0.351
2022,Atlanta Hawks,96.6,0.531,0.668,0.441,0.442,0.431,0.374
2022,Boston Celtics,99.8,0.547,0.739,0.45,0.417,0.397,0.356
2022,Brooklyn Nets,97.1,0.538,0.659,0.448,0.475,0.48,0.361
2022,Chicago Bulls,100.3,0.535,0.677,0.452,0.45,0.435,0.369
2022,Charlotte Hornets,98.4,0.542,0.69,0.385,0.402,0.419,0.365
2022,Cleveland Cavaliers,95.9,0.541,0.697,0.406,0.426,0.391,0.355
2022,Dallas Mavericks,95.4,0.548,0.736,0.45,0.452,0.395,0.35
2022,Denver Nuggets,99.9,0.575,0.744,0.48,0.439,0.427,0.353
2022,Detroit Pistons,96.2,0.498,0.645,0.422,0.354,0.376,0.326
2022,Golden State Warriors,100.9,0.557,0.711,0.51,0.408,0.382,0.364
2022,Houston Rockets,97.8,0.543,0.689,0.384,0.322,0.347,0.349
2022,Indiana Pacers,96.0,0.541,0.675,0.46,0.417,0.4,0.344
2022,Los Angeles Clippers,96.1,0.512,0.694,0.447,0.436,0.348,0.374
2022,Los Angeles Lakers,97.7,0.546,0.709,0.42,0.412,0.392,0.347
2022,Memphis Grizzlies,99.0,0.519,0.676,0.425,0.409,0.383,0.353
2022,Miami Heat,100.0,0.531,0.697,0.437,0.44,0.385,0.379
2022,Milwaukee Bucks,100.0,0.544,0.715,0.422,0.445,0.393,0.366
2022,Minnesota Timberwolves,98.0,0.54,0.675,0.417,0.424,0.359,0.358
2022,New Orleans Pelicans,95.9,0.528,0.666,0.429,0.459,0.395,0.332
2022,New York Knicks,98.3,0.497,0.654,0.374,0.376,0.361,0.357
2022,Oklahoma City Thunder,97.2,0.507,0.644,0.444,0.424,0.367,0.323
2022,Orlando Magic,100.1,0.507,0.67,0.425,0.42,0.329,0.331
2022,Philadelphia 76ers,97.0,0.527,0.702,0.414,0.417,0.431,0.364
2022,Phoenix Suns,98.0,0.551,0.709,0.506,0.497,0.426,0.364
2022,Portland Trail Blazers,99.8,0.513,0.629,0.424,0.425,0.404,0.346
2022,Sacramento Kings,98.4,0.53,0.7,0.434,0.425,0.422,0.344
